title
An operating robot for smart livestock farming. Patent No.:ZL202222670720.1
Automatic water supply flowerpot. Patent No.:ZL201020020575.7
Automatic oxygen generator. Patent No.: ZL201020019629.8
"An efficient weeding robot based on multi-spectral vision. Patent No.:201220285655.4 "
Feed Nutritional analysis and measurement system. Computer Software Copyright Registration. Patent No.: 2012SR012288
Intelligent recognition system of weeds in maize field. Computer Software Copyright Registration. Patent No.:2012R11L138890
