title
17th "Chunhui Cup" innovation of Chinese overseas students Entrepreneurship Competition Winner Award 2022
The 2nd (2009-2015) "Special Outstanding Paper" of China Agricultural Engineering Association 2016.05
Top articles in outstanding science & technology journal of China in Institute of Science and Technology Information 2015.10 French UTBM Doctoral Students Association ‘Best Paper’ 2016
Valeo Smart Car Innovation Challenge (5,000 Euro project funding) 2014.04
Best Student Paper of Mexico International Conference on Artificial Intelligence
